ID,Name,Height,Country,Fixture,Conc,Result
1,Sarah Bouhaddi,175,France,France v Korea Republic,0,Win
1,Minjung Kim,175,Korea Republic,France v Korea Republic,4,Lose
2,Almuth Schult,180,Germany,Germany v China PR,0,Win
2,Shimeng Peng,182,China PR,Germany v China PR,1,Lose
3,Sandra Panos,168,Spain,Spain v South Africa,1,Win
3,Andile Dlamini,169,South Africa,Spain v South Africa,3,Lose
4,Ingrid Hjelmsmeth,173,Norway,Norway v Nigeria,0,Win
4,Tochuckwu Oluehi,168,Nigeria,Norway v Nigeria,3,Lose
5,Laura Guilani,175,Italy,Australia v Italy,1,Win
5,Lydia Williams,175,Australia,Australia v Italy,2,Lose
6,Barbara,171,Brazil,Brazil v Jamaica,0,Win
6,Sydney Schneider,178,Jamaica,Brazil v Jamaica,3,Lose
7,Karen Bardsley,182,England,England v Scotland,1,Win
7,Lee Alexander,169,Scotland,England v Scotland,2,Lose
8,Vanina Correa,180,Argentina,Argentina v Japan,0,Draw
8,Ayaka Yamashita,170,Japan,Argentina v Japan,0,Draw
9,Stephanie Labbe,178,Canada,Canada v Cameroon,0,Win
9,Annette Ngo Ndom,171,Cameroon,Canada v Cameroon,1,Lose
10,Sari Van Veenendaal,180,Netherlands,Neherlands v New Zealand,0,Win
10,Erin Nayler,177,New Zealand,Neherlands v New Zealand,1,Lose
11,Heidwig Lindhal,179,Sweden,Chile v Sweden,0,Win
11,Claudia Endler,182,Chile,Chile v Sweden,2,Lose
12,Alyssa Naeher,175,USA,USA v Thailand,0,Win
12,Sunkanya Charoenying,165,Thailand,USA v Thailand,13,Lose
13,Chiamaka Nnadozie,180,Nigeria,Nigeria v Korea Republic,0,Win
13,Minjung Kim,175,Korea Republic,Nigeria v Korea Republic,2,Lose
14,Almuth Schult,180,Germany,Germany v Spain,0,Win
14,Sandra Panos,168,Spain,Germany v Spain,1,Lose
15,Sarah Bouhaddi,175,France,France v Norway,1,Win
15,Ingrid Hjelmsmeth,173,Norway,France v Norway,2,Lose
16,Lydia Williams,175,Australia,Australia v Brazil,2,Win
16,Barbara,171,Brazil,Australia v Brazil,3,Lose
17,Shimeng Peng,182,China PR,South Africa v China PR,0,Win
17,Kaylin Swart,165,South Africa,South Africa v China PR,1,Lose
18,Ayaka Yamashita,170,Japan,Japan v Scotland,1,Win
18,Lee Alexander,169,Scotland,Japan v Scotland,2,Lose
19,Laura Guilani,175,Italy,Jamaica v Italy,0,Win
19,Sydney Schneider,178,Jamaica,Jamaica v Italy,5,Lose
20,Carley Telford,174,England,England v Argentina,0,Win
20,Vanina Correa,180,Argentina,England v Argentina,1,Lose
